ModelID,ATP6V1B2,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,DependencyGroup
ACH-000015,-2.364824265714954,NCI-H1581,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Non-immune
ACH-000045,-2.2875008429036057,MV4-11,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000094,-1.868609414844328,HPAF-II,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000096,-1.4326297162200634,G-401,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,Non-immune
ACH-000099,-1.01831550298711,SIMA,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000167,-2.215360078965265,KE-97,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000178,-2.6435938110512267,Hs 766T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000213,-1.8705958687949131,HUP-T4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000216,-2.833575767263301,JH-EsoAd1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,Non-immune
ACH-000223,-1.498379057988107,HCC1937,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-000247,-0.9249115838688112,OCUM-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,Non-immune
ACH-000261,-2.3062023066731685,RERF-LC-AI,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000262,-2.86473179583079,UOK101,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-000286,-2.8491185452506147,SNU-1033,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,Non-immune
