ModelID,CellLineName,OncotreePrimaryDisease,ATP6V1B2
ACH-000326,JURL-MK1,Myeloproliferative Neoplasms,-3.233030634826214
ACH-000198,EOL-1,Acute Myeloid Leukemia,-3.1531445824794577
ACH-000387,TF-1,Acute Myeloid Leukemia,-3.126008625022296
ACH-002210,ARH-77,Non-Cancerous,-3.1258424191524874
ACH-000004,HEL,Acute Myeloid Leukemia,-3.1088717320116306
ACH-001618,OCI-M2,Acute Myeloid Leukemia,-3.098213923644433
ACH-000074,KU812,Myeloproliferative Neoplasms,-2.9608996595572243
ACH-000557,AML-193,Acute Myeloid Leukemia,-2.885013551816702
ACH-000604,KYO-1,Myeloproliferative Neoplasms,-2.8309426275356597
ACH-000005,HEL 92.1.7,Acute Myeloid Leukemia,-2.821905867551924
ACH-001577,MUTZ-8,Acute Myeloid Leukemia,-2.8148950385260365
ACH-000190,HD-MY-Z,Acute Myeloid Leukemia,-2.747559119451295
ACH-001574,MOLM-14,Acute Myeloid Leukemia,-2.715251565982773
ACH-001036,CMK-11-5,Acute Myeloid Leukemia,-2.5990622058328023
ACH-001647,SHI-1,Acute Myeloid Leukemia,-2.551037625577207
ACH-000295,EM-2,Myeloproliferative Neoplasms,-2.5490626075150065
ACH-000551,K-562,Myeloproliferative Neoplasms,-2.536641946818019
ACH-000263,KASUMI-1,Acute Myeloid Leukemia,-2.481569751996867
ACH-000498,KO52,Acute Myeloid Leukemia,-2.472048283540136
ACH-001129,MONO-MAC-1,Acute Myeloid Leukemia,-2.453956792521814
